11101 // 5'd29
00100 // 5'd4
10100 // 5'd20
00100 // 5'd4
01001 // 5'd9
11110 // 5'd30
00101 // 5'd5
10000 // 5'd16
00101 // 5'd5
01110 // 5'd14
11110 // 5'd30
10101 // 5'd21
00010 // 5'd2
11101 // 5'd29
10110 // 5'd22
01101 // 5'd13
00110 // 5'd6
00001 // 5'd1
01001 // 5'd9
00010 // 5'd2
00100 // 5'd4
11010 // 5'd26
10110 // 5'd22
01010 // 5'd10
00010 // 5'd2
01110 // 5'd14
01100 // 5'd12
11000 // 5'd24
11001 // 5'd25
00110 // 5'd6
10101 // 5'd21
10110 // 5'd22
11000 // 5'd24
10110 // 5'd22
10101 // 5'd21
00110 // 5'd6
00100 // 5'd4
01011 // 5'd11
10011 // 5'd19
00111 // 5'd7
11000 // 5'd24
01000 // 5'd8
10000 // 5'd16
10110 // 5'd22
11110 // 5'd30
00101 // 5'd5
00101 // 5'd5
01000 // 5'd8
01000 // 5'd8
11010 // 5'd26
01000 // 5'd8
01011 // 5'd11
00111 // 5'd7
10100 // 5'd20
01111 // 5'd15
01011 // 5'd11
11010 // 5'd26
10011 // 5'd19
10010 // 5'd18
01001 // 5'd9
11000 // 5'd24
11000 // 5'd24
01100 // 5'd12
10010 // 5'd18
00011 // 5'd3
00010 // 5'd2
10001 // 5'd17
00101 // 5'd5
10010 // 5'd18
01111 // 5'd15
00001 // 5'd1
00110 // 5'd6
01010 // 5'd10
10001 // 5'd17
10011 // 5'd19
01001 // 5'd9
10101 // 5'd21
10110 // 5'd22
11000 // 5'd24
01110 // 5'd14
00011 // 5'd3
01000 // 5'd8
11101 // 5'd29
00101 // 5'd5
11010 // 5'd26
10001 // 5'd17
00011 // 5'd3
01110 // 5'd14
00100 // 5'd4
00001 // 5'd1
11010 // 5'd26
00011 // 5'd3
01101 // 5'd13
01001 // 5'd9
11101 // 5'd29
00110 // 5'd6
01001 // 5'd9
00101 // 5'd5
00101 // 5'd5
10010 // 5'd18
10010 // 5'd18
00101 // 5'd5
11011 // 5'd27
10100 // 5'd20
01011 // 5'd11
01101 // 5'd13
00011 // 5'd3
01000 // 5'd8
00100 // 5'd4
00110 // 5'd6
01000 // 5'd8
01101 // 5'd13
00010 // 5'd2
11110 // 5'd30
10000 // 5'd16
01011 // 5'd11
11100 // 5'd28
00100 // 5'd4
11001 // 5'd25
01101 // 5'd13
01000 // 5'd8
01101 // 5'd13
00011 // 5'd3
00101 // 5'd5
10010 // 5'd18
00010 // 5'd2
01000 // 5'd8
01011 // 5'd11
00001 // 5'd1
00010 // 5'd2
00110 // 5'd6
10101 // 5'd21
01110 // 5'd14
10001 // 5'd17
01010 // 5'd10
11000 // 5'd24
00110 // 5'd6
10110 // 5'd22
00110 // 5'd6
01100 // 5'd12
00011 // 5'd3
11101 // 5'd29
11001 // 5'd25
10000 // 5'd16
01110 // 5'd14
01110 // 5'd14
01010 // 5'd10
10000 // 5'd16
10000 // 5'd16
11010 // 5'd26
11001 // 5'd25
10100 // 5'd20
01100 // 5'd12
11010 // 5'd26
10001 // 5'd17
01011 // 5'd11
10010 // 5'd18
10100 // 5'd20
00111 // 5'd7
01010 // 5'd10
01000 // 5'd8
11011 // 5'd27
00111 // 5'd7
01000 // 5'd8
00110 // 5'd6
01000 // 5'd8
01110 // 5'd14
01010 // 5'd10
01110 // 5'd14
00110 // 5'd6
01110 // 5'd14
00100 // 5'd4
01001 // 5'd9
01101 // 5'd13
10011 // 5'd19
01001 // 5'd9
10111 // 5'd23
00111 // 5'd7
00100 // 5'd4
01010 // 5'd10
01010 // 5'd10
01110 // 5'd14
10000 // 5'd16
00011 // 5'd3
01001 // 5'd9
00001 // 5'd1
10111 // 5'd23
10000 // 5'd16
10010 // 5'd18
01000 // 5'd8
10001 // 5'd17
10001 // 5'd17
01000 // 5'd8
10000 // 5'd16
10100 // 5'd20
01101 // 5'd13
01100 // 5'd12
