00001 // 5'd1
00111 // 5'd7
10111 // 5'd23
11000 // 5'd24
01000 // 5'd8
11110 // 5'd30
00101 // 5'd5
10011 // 5'd19
00100 // 5'd4
00001 // 5'd1
11101 // 5'd29
01101 // 5'd13
01101 // 5'd13
11100 // 5'd28
11100 // 5'd28
10110 // 5'd22
01011 // 5'd11
01011 // 5'd11
11101 // 5'd29
00110 // 5'd6
00110 // 5'd6
11110 // 5'd30
01111 // 5'd15
10111 // 5'd23
00111 // 5'd7
10010 // 5'd18
01011 // 5'd11
11110 // 5'd30
10011 // 5'd19
00100 // 5'd4
10111 // 5'd23
11000 // 5'd24
11011 // 5'd27
01110 // 5'd14
11001 // 5'd25
00111 // 5'd7
10101 // 5'd21
01010 // 5'd10
11110 // 5'd30
01000 // 5'd8
10110 // 5'd22
00101 // 5'd5
01110 // 5'd14
10101 // 5'd21
10000 // 5'd16
01100 // 5'd12
10011 // 5'd19
11111 // 5'd31
01001 // 5'd9
01010 // 5'd10
00111 // 5'd7
10111 // 5'd23
10001 // 5'd17
00101 // 5'd5
10110 // 5'd22
01011 // 5'd11
11011 // 5'd27
11110 // 5'd30
11000 // 5'd24
11000 // 5'd24
01011 // 5'd11
11001 // 5'd25
00110 // 5'd6
10100 // 5'd20
00101 // 5'd5
11010 // 5'd26
00110 // 5'd6
01110 // 5'd14
11100 // 5'd28
10000 // 5'd16
10010 // 5'd18
01110 // 5'd14
11111 // 5'd31
01100 // 5'd12
01001 // 5'd9
11111 // 5'd31
11010 // 5'd26
11000 // 5'd24
11000 // 5'd24
11111 // 5'd31
11100 // 5'd28
10100 // 5'd20
11101 // 5'd29
11010 // 5'd26
10011 // 5'd19
11011 // 5'd27
01011 // 5'd11
10000 // 5'd16
01101 // 5'd13
11100 // 5'd28
11010 // 5'd26
11011 // 5'd27
01010 // 5'd10
00001 // 5'd1
11011 // 5'd27
11101 // 5'd29
01000 // 5'd8
10010 // 5'd18
01011 // 5'd11
11000 // 5'd24
10101 // 5'd21
00010 // 5'd2
11100 // 5'd28
10111 // 5'd23
01110 // 5'd14
01101 // 5'd13
00001 // 5'd1
10001 // 5'd17
10010 // 5'd18
00011 // 5'd3
01100 // 5'd12
10000 // 5'd16
11011 // 5'd27
11000 // 5'd24
11011 // 5'd27
01011 // 5'd11
11110 // 5'd30
00100 // 5'd4
11101 // 5'd29
00100 // 5'd4
11000 // 5'd24
10111 // 5'd23
00100 // 5'd4
11111 // 5'd31
10000 // 5'd16
01010 // 5'd10
10111 // 5'd23
10010 // 5'd18
00100 // 5'd4
01010 // 5'd10
11101 // 5'd29
11100 // 5'd28
11010 // 5'd26
11010 // 5'd26
00101 // 5'd5
10011 // 5'd19
11001 // 5'd25
11000 // 5'd24
00001 // 5'd1
00110 // 5'd6
11100 // 5'd28
11101 // 5'd29
10011 // 5'd19
10111 // 5'd23
11100 // 5'd28
01100 // 5'd12
00111 // 5'd7
10001 // 5'd17
11101 // 5'd29
00111 // 5'd7
11111 // 5'd31
01101 // 5'd13
01001 // 5'd9
10111 // 5'd23
10001 // 5'd17
01100 // 5'd12
11011 // 5'd27
00011 // 5'd3
00100 // 5'd4
11101 // 5'd29
01000 // 5'd8
01011 // 5'd11
11100 // 5'd28
10000 // 5'd16
00111 // 5'd7
01010 // 5'd10
11100 // 5'd28
00001 // 5'd1
11000 // 5'd24
00110 // 5'd6
11100 // 5'd28
11010 // 5'd26
11111 // 5'd31
01100 // 5'd12
10000 // 5'd16
11000 // 5'd24
11101 // 5'd29
01110 // 5'd14
00010 // 5'd2
00101 // 5'd5
01100 // 5'd12
00010 // 5'd2
11011 // 5'd27
11100 // 5'd28
00010 // 5'd2
00011 // 5'd3
01110 // 5'd14
00011 // 5'd3
11001 // 5'd25
10111 // 5'd23
11001 // 5'd25
11010 // 5'd26
01100 // 5'd12
11010 // 5'd26
00010 // 5'd2
11001 // 5'd25
10001 // 5'd17
00110 // 5'd6
11010 // 5'd26
10011 // 5'd19
00010 // 5'd2
00111 // 5'd7
01001 // 5'd9
10011 // 5'd19
11101 // 5'd29
10101 // 5'd21
10100 // 5'd20
01100 // 5'd12
11011 // 5'd27
01101 // 5'd13
11100 // 5'd28
11010 // 5'd26
11010 // 5'd26
11011 // 5'd27
01011 // 5'd11
10101 // 5'd21
11110 // 5'd30
10101 // 5'd21
01101 // 5'd13
01000 // 5'd8
01011 // 5'd11
10000 // 5'd16
11010 // 5'd26
01011 // 5'd11
11010 // 5'd26
01110 // 5'd14
10011 // 5'd19
10010 // 5'd18
11110 // 5'd30
00010 // 5'd2
10111 // 5'd23
11100 // 5'd28
11100 // 5'd28
11010 // 5'd26
10101 // 5'd21
10101 // 5'd21
10001 // 5'd17
10100 // 5'd20
10011 // 5'd19
